,Background,Corn,Cotton,Rice,Sorghum,Soybeans,Sunflower,Tobacco,Sweet Corn,Pop or Orn Corn,Barley,Spring Wheat,Winter Wheat,Dbl Crop WinWht/Soybeans,Rye,Oats,Millet,Alfalfa,Other Hay/Non Alfalfa,Buckwheat,Sugarbeets,Dry Beans,Potatoes,Other Crops,Misc Vegs & Fruits,Watermelons,Cucumbers,Peas,Tomatoes,Herbs,Clover/Wildflowers,Sod/Grass Seed,Switchgrass,Fallow/Idle Cropland,Peaches,Christmas Trees,Walnuts,Aquaculture,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grass/Pasture,Woody Wetlands,Herbaceous Wetlands,Cantaloupes,Squash,Dbl Crop WinWht/Corn,Pumpkins,Dbl Crop WinWht/Sorghum,Dbl Crop Soybeans/Oats,Dbl Crop Corn/Soybeans,Cabbage
Background,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn,,0.3738540457934902,,2.570570751689177e-06,1.8435212629651484e-05,0.5629523473157227,2.6089374793263286e-06,7.673345527430378e-08,0.00015998925424692338,0.00037119808988944457,1.9183363818575946e-08,5.7550091455727835e-08,0.0017010656032484034,0.007074920493109902,1.3620188311188921e-06,5.106611448504917e-05,1.9183363818575946e-08,0.0003401402238671701,7.763507337377685e-05,1.1510018291145567e-07,3.8366727637151893e-07,0.00019271607292141395,0.00017230497381844913,1.7571961257815566e-05,1.0205549551482403e-05,8.037829439983322e-06,8.958630903274967e-06,0.00013196235970798392,1.7265027436718352e-06,1.2143069297158573e-05,2.8775045727863918e-06,7.155394704328828e-06,2.493837296414873e-07,0.003302607915006035,7.673345527430378e-08,7.673345527430378e-08,1.3236521034817402e-06,1.9183363818575946e-08,0.0010563319286698845,0.002173820421193389,6.228838231891609e-05,1.11647177424112e-05,1.5346691054860757e-06,5.4308102970388505e-05,0.0006622480857448788,1.9183363818575947e-07,1.9183363818575947e-07,5.966026147577119e-06,0.04475183355070962,4.9128594739373e-05,0.0003621435421670767,7.673345527430378e-08,7.865179165616137e-07,3.587289034073702e-05,0.0002844892854294813,2.6089374793263286e-06,8.248846441987656e-07,2.110170020043354e-07,5.9084760561213915e-06
Rice,,0.22533136966126657,,0.07216494845360824,,0.4536082474226804,,,,,,,,0.0014727540500736377,,,,,,,,,,,,,,,,,,,,0.030927835051546393,,,,,0.14285714285714285,,,,,,,,,,0.05743740795287187,0.004418262150220913,0.011782032400589101,,,,,,,,
Sorghum,,0.06701415726922594,,,0.001532658170983874,0.8059469779548262,,,,,,,0.0012485879065342767,0.02010292592372383,,6.606285219758078e-06,,0.0005813530993387108,0.0010900370612600828,,,,1.3212570439516156e-05,,,6.606285219758078e-06,,,6.606285219758078e-06,,0.00011230684873588732,,,0.03578624703542951,,,,,0.002034735847685488,0.0021866804077399237,0.0003501331166471781,0.0013542884700504059,6.606285219758078e-06,7.266913741733885e-05,0.0010768244908205668,,,,0.058921457875022294,3.963771131854847e-05,0.00045583368016330735,,6.606285219758078e-06,1.3212570439516156e-05,1.9818855659274235e-05,1.3212570439516156e-05,,,
Soybeans,,0.7395452784391795,2.720169943161233e-08,2.1761359545289864e-07,0.00026663105782866403,0.14463029340650663,7.3172571471037165e-06,2.148934255097374e-06,0.00017060905883507253,0.0011958139087131095,,1.4607312594775822e-05,0.01634922782127798,0.03575124796636695,2.420951249413497e-06,7.197569669604622e-05,,0.0009247489738770928,0.00022120421977787146,6.7460214590398575e-06,9.738208396517213e-06,2.2795024123691134e-05,7.932015554258155e-05,1.7082667243052545e-05,4.624288903374096e-07,1.6538633254420296e-05,6.256390869270836e-07,2.6684867142411696e-05,1.9122794700423466e-05,1.702826384418932e-05,3.223401382646061e-05,2.7011287535591043e-05,1.5776985670335151e-06,0.007544581749253701,5.440339886322466e-08,,1.63210196589674e-07,2.720169943161233e-08,0.0005075021062955912,0.0026101390689603613,0.00014552909195912598,1.2621588536268121e-05,4.0802549147418495e-06,0.0001573074278130141,0.002725827896643008,1.904118960212863e-06,8.976560812432069e-07,1.387286671012229e-06,0.04644809865425304,4.996952185587185e-05,0.00013021453517912822,9.520594801064315e-07,1.1968747749909425e-06,1.6674641751578358e-05,5.7613199396154914e-05,0.00014928292648068846,6.800424857903082e-07,6.256390869270836e-07,1.9313206596444753e-06
Sunflower,,0.46890603722197005,,,,0.25828415796640947,,,,0.008624602814344077,,,0.026327734906945077,0.06763504312301408,,,,0.0013617793917385383,0.00045392646391284613,,,,,,,,,,,,,,,0.019518837948252384,,,,,0.0018157058556513845,,,,,0.0040853381752156154,0.06354970494779846,0.0027235587834770767,,,0.07625964593735815,,,,,,0.00045392646391284613,,,,
Tobacco,,0.3900452488687783,,,0.0009049773755656109,0.21085972850678733,,0.009954751131221719,,,,,0.0036199095022624436,0.28868778280542984,,,,,,,,,,,,,,,,,,,,0.05429864253393665,,,,,0.0009049773755656109,,,,,,,,,,0.04072398190045249,,,,,,,,,,
Sweet Corn,,0.4550340651021953,,,,0.21445874337623014,,,0.15215745647236942,0.011127933383800151,,,0.023088569265707796,0.007115821347464042,,0.0012869038607115821,,0.002498107494322483,0.0001514004542013626,,0.00011355034065102195,0.0012869038607115821,0.0267221801665405,0.00011355034065102195,,,,0.008970476911430735,,0.00018925056775170325,,0.0005299015897047691,,0.01048448145344436,,,,,0.0007191521574564724,0.0012869038607115821,7.57002271006813e-05,,0.00011355034065102195,0.0070401211203633615,3.785011355034065e-05,,,,0.0427327781983346,,0.00041635124905374716,3.785011355034065e-05,,,0.03149129447388342,,,,0.0007191521574564724
Pop or Orn Corn,,0.2640416358007104,,,,0.24904552965980967,,,0.0035139704066708454,0.406746823180808,,,0.007246376811594203,0.003998328489752502,2.849165194597983e-05,,,0.0001044693904685927,4.748608657663305e-05,,,0.028529640815241133,,,0.00165251581286683,,,,,5.698330389195966e-05,,9.49721731532661e-06,,0.003115087279427128,,,,,0.0002849165194597983,0.0001899443463065322,,,3.798886926130644e-05,0.0001899443463065322,0.0005888274735502498,,,,0.012203924250194693,,0.0005983246908655763,,,9.49721731532661e-06,0.01775979637966076,,,,
Barley,,0.05714285714285714,,,,0.19047619047619047,,,,,,,0.01904761904761905,,,,,0.06666666666666667,,,,,,,,,,,,,0.06666666666666667,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,
